Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
10,0.06511106349527836,0.0289365466684103,0.07118032716214656,0.048708890825510026,0.08164767660200596,0.04865424808114767,0.08242902241647243,0.03948299322277307,0.0530475764721632,0.07587169840931893,0.06846701800823211,0.1476570363342762,0.05998821496963501,0.047368992157280444,0.06669830016791821,0.12518836736679076,0.07341516193002462,0.06854915864765644,0.04222422886639834,0.08193284027278423,0.0494672242179513,0.07348914965987205,0.07076786808669568,0.0772953250259161,0.07277204781770706,0.0951078949123621,0.10214426286518574,0.07746255852282047,0.04276956412941217,0.12691349849104883,0.13251375257968903,0.0973639988899231
11,0.08503657549619675,0.16120656087994575,0.02727540014311671,0.0727130650728941,0.07249601833522319,0.03304046642035246,0.04409279301762581,0.1198723167181015,0.07441927433013916,0.055315270349383355,0.04087849002331495,0.0961456997692585,0.06020205982029438,0.05935513488948345,0.08988626908510923,0.036346093267202374,0.039184543527662756,0.15022420570254325,0.04014832355082035,0.09110200762748719,0.11097933948040009,0.03587069150060415,0.05233996149152517,0.041539262235164645,0.09021328628063202,0.06412712305784225,0.10596356250345706,0.05363880969583988,0.19151552647352219,0.05698685519397259,0.08234077759087086,0.09351162448525428
12,0.06276593498885631,0.10914904199540615,0.031203901497647166,0.056569869965314865,0.09469041675329208,0.06599344491958618,0.0662535597383976,0.05930971346795559,0.06239868015050888,0.21545765325427055,0.05176596160978079,0.14635319963097573,0.08196010649204254,0.09511385954916478,0.09390396520495414,0.03367527443915606,0.06560281042009591,0.09083346664905548,0.07005771718919278,0.0688634829968214,0.03462872061878443,0.13161326631903647,0.044258198514580724,0.06636750120669603,0.05697978220880032,0.1373864881694317,0.06414634753018618,0.09540509290993214,0.05053786836564541,0.039707667119801046,0.09627295687794685,0.07805166967213154
13,0.0573185121640563,0.056261807680130005,0.17041016563773156,0.05996679987758398,0.12029309868812561,0.0749792780727148,0.02244814280420542,0.03728401444852352,0.13647505193948745,0.07582651987671853,0.10243595018982887,0.05513112206012011,0.06921954289078712,0.07089712560176849,0.02909261267632246,0.03768335118889809,0.08130890250205994,0.20495540007948876,0.07972420565783978,0.07790175639092922,0.07146898299455642,0.09224128194153308,0.08350405208766461,0.052959949597716334,0.06931461226195097,0.1380733113735914,0.05441962283104658,0.04478596199303866,0.041358984857797626,0.03708383645862341,0.10269244939088822,0.08468529745936394
14,0.051573044434189794,0.04419063653796911,0.0798565236479044,0.15030017673969268,0.0936018980294466,0.08445109099149704,0.09762037485837936,0.07540150590240956,0.10058087274432183,0.13651951611042024,0.03603733103722334,0.0848861963301897,0.19747449725866317,0.10754925653338432,0.0702040158957243,0.060361507907509805,0.1652756503224373,0.0786539725214243,0.04907517995685339,0.08177257366478444,0.13366376250982284,0.08039905600249768,0.04257257178425789,0.06787573277950287,0.1215289667248726,0.06713848397135734,0.1385831731557846,0.10881957992911338,0.05725569359958172,0.26313829034566877,0.05441222701221705,0.052468330562114716
15,0.03991238355636597,0.05944758083671332,0.04712035246193409,0.04414424434304237,0.08383777566254139,0.08788113676011562,0.05918392784893513,0.03208766084164381,0.08192607574164867,0.10280654519796371,0.062493811696767806,0.04594639878720045,0.041851242631673814,0.07041443563997746,0.1062804053723812,0.03707831209525466,0.05168691661208868,0.06354014717042446,0.06754762716591359,0.06889669865369796,0.05112416859716177,0.04226078785955906,0.09092176012694836,0.06696197748184204,0.18271591871976853,0.04680719342082739,0.05733394224196672,0.08675106018781661,0.03754775807261467,0.05455232426524162,0.08365969061851501,0.0757860504835844
16,0.028422766774892808,0.04235465601086617,0.12929421827197074,0.12307729557156563,0.20461991131305696,0.1288646049797535,0.11283688217401505,0.056242896653711794,0.04256072595715523,0.15109536349773406,0.08553246162831783,0.03748802375048399,0.042279311381280424,0.1158497678488493,0.059187138862907884,0.05704897724092007,0.047655909731984136,0.09042857140302658,0.05406048484146595,0.05477491401135921,0.11635936245322227,0.038385416343808175,0.059205897897481916,0.08201621189713477,0.059276153519749644,0.10149987161159515,0.06100906442850828,0.05657776694744825,0.06585816726088524,0.04822649501264095,0.06396241083741189,0.06303057558834553
17,0.06814990900456905,0.053966144993901254,0.03828801445662975,0.05145352117717266,0.05283465024083853,0.060863338708877564,0.05825892541557551,0.029493393264710902,0.0597435312718153,0.08050830490887165,0.1423224125802517,0.034556841924786565,0.06672902464866638,0.07312729276716709,0.03482678707689047,0.08365806706249714,0.05729409750550985,0.15882591500878335,0.06238848231732845,0.052060050778090956,0.04917181883007288,0.04119482800364494,0.041821407675743105,0.09566836975514889,0.07460620127618313,0.08374756388366222,0.039351485893130304,0.09483640015125275,0.049039647132158276,0.04129662714898586,0.11540888518095016,0.07390528030693531
18,0.03564720395952463,0.042374025136232375,0.06734627746045589,0.08626815587282181,0.06428957454860211,0.035030139982700347,0.03791693214327097,0.026007290836423634,0.0331196253746748,0.06787370532751083,0.07853259533643722,0.1191806048154831,0.07076423481106758,0.038819688372313976,0.046776167005300524,0.07451145306229591,0.03522818017750978,0.041026124507188795,0.027819910887628793,0.024717610571533443,0.07144529335200786,0.036673058681190016,0.058997789919376376,0.08262639641761779,0.027542839981615542,0.08194257743656636,0.03829394329339266,0.032203909046947955,0.04496621809899807,0.12212430365383625,0.07189606986939907,0.08034970819950103
19,0.040831698849797246,0.04015794660896063,0.03729850746691227,0.03536995861679316,0.09863408900797367,0.051267993338406086,0.07447914633899927,0.04841664623469114,0.08124532882124186,0.03450957549735904,0.04164020124822855,0.03177547352388501,0.07570468734949827,0.08646288357675075,0.04517950110137463,0.05611009307205677,0.05797306228429079,0.04228659467771649,0.07695320963859559,0.06689926035702229,0.05811318330466747,0.03099537646397948,0.047074310556054114,0.0455236154049635,0.030982141830027104,0.0629563196748495,0.034222795218229296,0.07369308285415173,0.04163880083709955,0.04044682066887617,0.027902826592326166,0.06681279756128788
