Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
16,0.10140270806849003,0.12877714864909648,0.4497557985782623,0.5479091262817383,0.5534196424484253,0.5889354681968689,0.405732769370079,0.24788235872983932,0.08014183044433594,0.5641910123825074,0.6124775543808937,0.06986150197684765,0.09422332927584648,0.3433017590641975,0.07911005981266499,0.24999095365405083,0.18141104206442832,0.281384297311306,0.1594532971084118,0.3998151642084122,0.43913469582796094,0.3044073840975761,0.17923667401075363,0.09630684226751328,0.35124955236911776,0.6401832753419876,0.25436487048864365,0.18065259113907814,0.6079424500465394,0.22174906924366952,0.38016988784074784,0.25296455800533296
17,0.330677727162838,0.11060910746455192,0.021859250757843257,0.07246277309954166,0.23454849183559418,0.10735108852386474,0.286930713057518,0.10625595532357693,0.13742074012756347,0.09892350859940052,0.5294670325517654,0.15085858449339867,0.23376457050442695,0.3630874055624008,0.09833712384104729,0.1629086872935295,0.3299917858839035,0.22564249604940415,0.40074448466300966,0.36248050823807715,0.16949407860636712,0.0859899765998125,0.27510919407010076,0.15742159746587275,0.22974144101142882,0.08139335133135318,0.031050130017101763,0.2154928471148014,0.21265676498413086,0.10562738791108131,0.610123245716095,0.09460507072508335
18,0.2228476119041443,0.21795034795999527,0.13761045441031455,0.3449373346567154,0.2884989780187607,0.17513778910040856,0.02747669942677021,0.05133412905037403,0.2967935693264008,0.21657476484775542,0.24874227464199067,0.11923531517386436,0.8639270734786987,0.09898751966655255,0.03886676657944918,0.2774666282534599,0.15264539957046508,0.48098937392234803,0.08420306779444217,0.015238391626626253,0.33596073240041735,0.11074764519929886,0.12104393519461155,0.4366371077299118,0.034759810715913775,0.24636252030730246,0.18376364767551423,0.13145675234496593,0.14952071905136108,0.08812243439257145,0.8153759127855301,0.39568447589874267
19,0.12060812510550022,0.14215127795934676,0.18586285099387168,0.08969190649688244,0.31219023138284685,0.14574316009879112,0.038438850082457066,0.14736170217394828,0.27699322789907455,0.0601865603774786,0.04846519973129034,0.02677840931341052,0.29890833407640455,0.21867891937494277,0.07369201026856899,0.2428868916630745,0.3683090689778328,0.055275967083871363,0.2661543768644333,0.08887224674224853,0.29230143904685973,0.12192093580961227,0.04629994850605726,0.14450546860694885,0.02695299221202731,0.31833227679133413,0.019930912759155036,0.3090379723906517,0.4908246195316315,0.08829376302659511,0.36451263576745985,0.25459850996732714
20,0.22636418893933297,0.06917069174349308,0.08476148333400488,0.18960185021162032,0.03676253728568554,0.44245070338249204,0.04990527033805847,0.4558775782585144,0.12253479093313217,0.18078308150172234,0.1396632719039917,0.49973049700260164,0.3179259738326073,0.22192092329263688,0.13179476529359818,0.058639181628823284,0.1321865901350975,0.04839600101113319,0.5337961888313294,0.12259756550192832,0.5494804739952087,0.2596186488866806,0.07467097923159599,0.15527572251856328,0.0227670600079,0.17212118551135064,0.02750883063301444,0.042047040201723576,0.1610878075659275,0.1525502894818783,0.1364303098618984,0.19333757162094117
21,0.20140617117285728,0.05715618804097176,0.3634071433544159,0.03005377693101764,0.06995213665068149,0.04482818618416786,0.015360292177647353,0.16319049254059792,0.4942049270868301,0.15196169972419737,0.39116427332162856,0.4569937960803509,0.048168244175612926,0.5879852390289306,0.16158335894346237,0.2504441350698471,0.1509896445274353,0.13194138996303081,0.1358415487036109,0.03793807286769152,0.02584214834496379,0.02813595861196518,0.278419855684042,0.02486155688762665,0.15029281094670296,0.19313032001256944,0.05369387201964855,0.053614598140120505,0.16434448704123497,0.1647374378144741,0.4739368000626564,0.45766553103923796
22,0.12084715835750102,0.2908932213485241,0.1265575498342514,0.4703858575224876,0.20579622343182563,0.1219441670179367,0.47121641963720323,0.12668045997619629,0.09570393010973931,0.04818461067974567,0.07314240146428347,0.29477051049470904,0.37676347509026525,0.03790732197463512,0.0192427190579474,0.09245641596615314,0.25725383520126344,0.48170076191425326,0.03576209835708141,0.1002448084950447,0.0892376521229744,0.08886856868863106,0.26897717013955114,0.2868214872479439,0.22907599702477455,0.09844701051712036,0.17171405181288718,0.13045901909470559,0.013010255387052893,0.038661445155739785,0.2021736006438732,0.29480709552764894
23,0.1743961076438427,0.20108812391757966,0.03481649776920676,0.13472550377249717,0.0682401579618454,0.3536942072212696,0.04066610496491194,0.06466665051877499,0.09927438110113145,0.097955317273736,0.028986886739730836,0.021653364039957525,0.014499011570587755,0.02370592111721635,0.16529563643038273,0.012280883435159921,0.0988690884411335,0.10117299847304821,0.05923505291342735,0.04364258036017418,0.1258666454255581,0.04160782424733043,0.1181504587084055,0.0713563060760498,0.15063867829740046,0.027278386410325765,0.012308752238750458,0.4312248980998993,0.21518415302038194,0.08589645214378834,0.03046078121289611,0.6010205495357513
24,0.12413848865777254,0.43348580062389375,0.11642419397830964,0.17052458792924882,0.22074620336294173,0.144987054169178,0.07686781905591487,0.16548859253525733,0.18914597392082214,0.14164952740073203,0.17924692884087562,0.5174755132198334,0.0766646157950163,0.4570514318346977,0.7045108747482299,0.08673819459974766,0.16475990667939186,0.19455752164125442,0.3032406049966812,0.03549490790814161,0.20802807599306106,0.2917212507128715,0.3048950110375881,0.5054289346933365,0.45631347060203553,0.15343116462230683,0.16204363353550433,0.04289024483412504,0.43863812401890756,0.1846783059835434,0.2829359516501427,0.09128360755741596
25,0.2720156148076057,0.038013957366347315,0.02811350644566119,0.19537210017442702,0.3104128263890743,0.16999748438596726,0.028645733445882796,0.2866158349812031,0.008951506330631673,0.09178472086787223,0.055701303854584695,0.36382468581199645,0.1973927693068981,0.2180294395983219,0.02604300567880273,0.039032001532614234,0.17439687237143517,0.07955984748899937,0.060265740416944026,0.09498586416244507,0.01952474633231759,0.09918299674987793,0.3089750283956528,0.07231781505048275,0.3592121970653534,0.7373801401257515,0.13299748584628104,0.20190557733178138,0.3278730311989784,0.14552186891436578,0.10434849083423614,0.14561985328793525
26,0.1350127347558737,0.022920445278286933,0.057313867174088956,0.058970681726932525,0.44910687386989595,0.029397692140191792,0.32889637678861616,0.19880589768290519,0.07069128386676311,0.14903077289462088,0.4618786668777466,0.05484695073217154,0.07108311202377081,0.05848575279116631,0.4678186213970184,0.5362337267398835,0.030535904057323933,0.5106666782498359,0.15913905769586564,0.8434074854850769,0.18730752751231194,0.5671899080276489,0.0707730858027935,0.2829966002702713,0.1978653910756111,0.24922686353325843,0.12274913132190704,0.3203074735403061,0.3117301842570305,0.0831630465388298,0.3327115707099438,0.25429779902100563
27,0.012896161386743188,0.08012697495520114,0.4495786938071251,0.1880198582261801,0.46999544352293016,0.1032814035564661,0.060025100633502006,0.5403230851888656,0.10207145534455776,0.25377539321780207,0.020400993581861256,0.12050365909934044,0.4803835475444794,0.14767247535288333,0.26743939697742464,0.32365176230669024,0.7947753119468689,0.09406058393418788,0.09504284963011742,0.029996888041496278,0.2409657920897007,0.07229925844818354,0.05376456454396248,0.11678909495472908,0.07447953503578901,0.3701078873872757,0.08604778818786145,0.17208083406090735,0.08039202235639095,0.3567899635434151,0.032455196902155876,0.01040805384516716
28,0.1074909034371376,0.08147978708148003,0.18028426349163054,0.3153687524795532,0.052917421627789736,0.014522408917546272,0.09647157661616802,0.42161127865314485,0.027823380827903747,0.30051479339599607,0.03470103994011879,0.10706505320966243,0.1072903361171484,0.6902020156383515,0.2978948321938515,0.32483207404613496,0.041895886361598966,0.4273171670734882,0.10891494907438755,0.041371219623833895,0.3962418177723885,0.0533467411249876,0.042096690014004706,0.46727186769247053,0.2580925941467285,1.0386350750923157,0.08928994104266166,0.07094257473945617,0.21145227253437043,0.12092450939118862,0.060523643530905245,0.21730660259723664
29,0.07141426216810942,0.11797641098499298,0.8909463894367218,0.09364466860890389,0.1298620156943798,0.3301021558046341,0.08208440221846104,0.1412692929804325,0.12549872748553753,0.838239397406578,0.6910352599620819,0.7532812938094139,0.36540633529424665,0.1026676370203495,0.07358907379209995,0.3669829624891281,0.1322265413403511,0.045579075552523135,0.5390192264318466,0.38629493445158003,0.1570785403251648,0.08730436518788337,0.06329958021640777,0.47164601743221285,0.2016597282886505,0.4041160109639168,0.2091481313109398,0.19821538165211677,0.11028773814439774,0.10938196390867233,0.44603966116905214,0.1670892880856991
30,0.2685055410861969,0.2187972302734852,0.6791986009478569,0.2696145339310169,0.11980669796466828,0.13143173970282077,0.1859506717324257,0.23349462807178498,0.4838463976979256,0.4039199948310852,0.0791440836340189,0.06268979530781507,0.9610790055990219,0.03363695092499256,0.2914920449256897,0.09705224022269249,0.21270822376012802,0.020998846292495727,1.173027338385582,0.4433945985138416,0.7955441498756408,0.17459828406572342,0.5490831007063389,0.03638040635734797,0.6155241990089416,1.397192332148552,0.9726456576585769,1.0263264536857606,0.28404679223895074,0.061261312402784825,0.10192301120609044,0.4019538816809654
31,0.23864995568990707,0.893179749250412,0.4230100554227829,0.31135542690753937,0.7330242455005646,0.34924162447452545,1.2744064009189606,0.5111604803800582,1.026171697974205,1.7033192485570907,0.26079593792557715,0.8856823748350143,0.6613399001955986,0.20845477566123008,0.8874108856916427,0.3661154475808144,0.4185132995247841,1.1765318596363068,1.0132045274972916,1.7218486934900283,0.4858311207592487,0.1944875580072403,1.64295747756958,0.3780209892988205,0.5273653525114059,0.6894767957925797,0.18004706904292106,0.862384380698204,1.294169119000435,0.9111646699905396,0.5101870864629745,0.8851716470718384
